line,societe,name_fr,name_ar,anchor_stops,route_km,origin,terminus,country,no_geometry
800,EPE-TVE,,,19,785.741,stop0,stop18,Algeria,False
801,EPE-TVE,,,19,698.637,stop0,stop18,Tunisia,False
802,EPE-TVE,,,17,665.241,stop0,stop16,Tunisia,False
803,EPE-TVE,,,17,669.452,stop0,stop16,Tunisia,False
804,EPE-TVE,,,17,756.556,stop0,stop16,Algeria,False
805,EPE-TVE,,,17,705.569,stop0,stop16,Algeria,False
806,EPE-TVE,,,14,407.44,stop0,stop13,Tunisia,False
807,EPE-TVE,,,17,475.423,stop0,stop16,Tunisia,False
808,EPE-TVE,,,12,611.024,stop0,stop11,Tunisia,False
809,EPE-TVE,,,13,720.699,stop0,stop12,Algeria,False
974,EPE-TVE,,,11,1353.565,stop0,stop10,Algeria,False
975,EPE-TVE,,,10,15946.69,stop0,stop9,Algeria,False
976,EPE-TVE,,,17,11494.13,stop0,stop21,Algeria,False
977,EPE-TVE,,,18,10425.229,stop0,stop17,Algeria,False
978,EPE-TVE,,,6,1587.623,stop0,stop5,Algeria,False
979,EPE-TVE,,,11,240.688,stop0,stop10,Tunisia,False
980,EPE-TVE,,,8,5353.63,stop0,stop7,Algeria,False
981,EPE-TVE,,,11,1689.213,stop0,stop10,Algeria,False
982,EPE-TVE,,,3,902.899,stop0,stop2,Algeria,False
983,EPE-TVE,,,10,5416.18,stop0,stop9,Algeria,False
984,EPE-TVE,,,6,399.436,stop0,stop5,Tunisia,False
985,EPE-TVE,,,8,5370.015,stop0,stop7,Algeria,False
986,EPE-TVE,,,10,289.18,stop0,stop9,Tunisia,False
987,EPE-TVE,,,11,4233.608,stop0,stop11,Algeria,False
988,EPE-TVE,,,7,496.01,stop0,stop6,Tunisia,False
989,EPE-TVE,,,8,511.522,stop0,stop7,Tunisia,False
990,EPE-TVE,,,8,600.32,stop0,stop7,Tunisia,False
991,EPE-TVE,,,10,1689.212,stop0,stop9,Algeria,False
992,EPE-TVE,,,12,8167.401,stop0,stop12,Algeria,False
993,EPE-TVE,,,18,518.074,stop0,stop17,Tunisia,False
994,EPE-TVE,,,17,612.498,stop0,stop16,Tunisia,False
995,EPE-TVE,,,17,784.624,stop0,stop16,Algeria,False
996,EPE-TVE,,,14,411.006,stop0,stop13,Tunisia,False
997,EPE-TVE,,,14,459.914,stop0,stop13,Tunisia,False
998,EPE-TVE,,,17,627.673,stop0,stop16,Tunisia,False
999,EPE-TVE,,,17,786.414,stop0,stop16,Algeria,False
101,S.R.T.BIZERTE,,,9,56.522,BIZERTE,TUNIS,Tunisia,False
102,S.R.T.BIZERTE,,,2,55.852,BIZERTE,TUNIS,Tunisia,False
103,S.R.T.BIZERTE,,,2,54.452,BIZERTE,AEROPORT,Tunisia,False
104,S.R.T.BIZERTE,,,19,143.465,BIZERTE,AIN DRAHAM,Tunisia,False
104,S.R.T.BIZERTE,,,19,143.465,stop0,stop18,Tunisia,False
106,S.R.T.BIZERTE,,,15,179.951,BIZERTE,EL KEF,Tunisia,False
107,S.R.T.BIZERTE,,,0,0.0,,,Tunisia,True
116,S.R.T.BIZERTE,,,2,41.394,ALIA,TUNIS,Tunisia,False
145,S.R.T.BIZERTE,,,10,209.651,BIZERTE,MOUNASTIR,Tunisia,False
401,S.R.T.BIZERTE,,,5,60.247,RAS JEBAL,TUNIS,Tunisia,False
402,S.R.T.BIZERTE,,,12,156.12,stop0,stop11,Tunisia,False
403,S.R.T.BIZERTE,,,11,143.971,stop0,stop10,Tunisia,False
404,S.R.T.BIZERTE,,,10,118.977,stop0,stop9,Tunisia,False
408,S.R.T.BIZERTE,,,10,60.368,stop0,stop13,Tunisia,False
410,S.R.T.BIZERTE,,,10,60.243,stop0,stop9,Tunisia,False
411,S.R.T.BIZERTE,,,8,32.859,RAS JEBAL,BIZERTE,Tunisia,False
414,S.R.T.BIZERTE,,,6,36.912,stop0,stop5,Tunisia,False
421,S.R.T.BIZERTE,,,0,0.0,,,Tunisia,True
499,S.R.T.BIZERTE,,,12,76.556,stop0,stop11,Tunisia,False
544,S.R.T.BIZERTE,,,0,0.0,,,Tunisia,True
550,S.R.T.BIZERTE,,,0,0.0,,,Tunisia,True
560,S.R.T.BIZERTE,,,0,0.0,,,Tunisia,True
105,S.R.T.K,,,2,5.485,stop0,stop1,Tunisia,False
201,S.R.T.K,,,27,505.768,KASSERINE,GABES,Tunisia,False
202,S.R.T.K,,,29,243.477,THALA,SFAX,Tunisia,False
203,S.R.T.K,,,22,192.016,KASSERINE,SFAX,Tunisia,False
204,S.R.T.K,,,20,144.568,KASSERINE,LE KEF,Tunisia,False
205,S.R.T.K,,,16,123.28,KASSERINE,LE KEF,Tunisia,False
206,S.R.T.K,,,23,214.739,FRIANA,KAIROUAN,Tunisia,False
207,S.R.T.K,,,16,123.28,KASSERINE,LE KEF,Tunisia,False
208,S.R.T.K,,,17,134.54,KASSERINE,KAIROUAN,Tunisia,False
209,S.R.T.K,,,22,192.016,KASSERINE,SFAX,Tunisia,False
210,S.R.T.K,,,17,134.823,SBEITLA,GAFSA,Tunisia,False
211,S.R.T.K,,,17,134.823,SBEITLA,GAFSA,Tunisia,False
212,S.R.T.K,,,22,189.726,KASSERINE,SOUSSE,Tunisia,False
213,S.R.T.K,,,22,189.726,KASSERINE,SOUSSE,Tunisia,False
215,S.R.T.K,,,29,259.351,THALA,MONASTIR,Tunisia,False
216,S.R.T.K,,,34,299.994,stop0,stop33,Tunisia,False
217,S.R.T.K,,,30,242.545,KASSERINE,MAHDIA,Tunisia,False
220,S.R.T.K,,,3,223.302,KASSERINE,TUNIS,Tunisia,False
302,S.R.T.K,,,7,32.223,KASSERINE,FOUSSANA,Tunisia,False
306,S.R.T.K,,,8,51.461,THALA,KASSERINE,Tunisia,False
308,S.R.T.K,,,7,38.247,FRIANA,KASSERINE,Tunisia,False
311,S.R.T.K,,,19,156.44,EL MEJEL,HAIDRA,Tunisia,False
341,S.R.T.K,,,13,94.155,KASSERINE,POSTEDOUANE,Tunisia,False
402,S.R.T.K,,,6,153.803,KASSERINE,SAHRAOUI,Tunisia,False
403,S.R.T.K,,,3,27.699,KASSERINE,FOUSSANA,Tunisia,False
406,S.R.T.K,,,10,343.5,KASSERINE,THALA,Tunisia,False
415,S.R.T.K,,,7,32.048,KASSERINE,FOUSSANA,Tunisia,False
424,S.R.T.K,,,14,623.965,KASSERINE,SBIBA,Tunisia,False
428,S.R.T.K,,,6,31.096,KASSERINE,FOUSSANA,Tunisia,False
450,S.R.T.K,,,5,192.77,EL AYOUN,SBEITLA,Tunisia,False
500,S.R.T.K,,,8,300.769,EL MEJEL,TUNIS,Tunisia,False
501,S.R.T.K,,,7,194.172,KASSERINE,SFAX,Tunisia,False
502,S.R.T.K,,,0,0.0,,,Tunisia,True
